keyword_id,keyword,parent_region,country,city,amenity_facet,search_intent,funnel_stage,est_monthly_volume,est_keyword_difficulty,serp_strength,business_value,freshness_sensitivity,content_type,page_type,programmatic_suitability,featured_snippet_opportunity,ai_overview_potential,comparison_intent,affiliate_intent,local_intent,priority_score
S2-0030,Madeira Portugal remote work short term vs 30 day stay prices,Europe,Portugal,Madeira,short term vs 30 day stay prices,Transactional / Commercial,BOFU,540,18,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),86.2
S2-0031,best coliving in Madeira reliable internet speedtest review,Europe,Portugal,Madeira,reliable internet speedtest review,Commercial Investigation,MOFU,553,23,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),80.8
S2-0032,Madeira workation spaces with reliable internet speedtest review,Europe,Portugal,Madeira,reliable internet speedtest review,Informational / Navigational,TOFU,566,28,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),75.5
S2-0033,Madeira Portugal remote work reliable internet speedtest review,Europe,Portugal,Madeira,reliable internet speedtest review,Informational / Navigational,TOFU,579,33,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),70.1
S2-0034,best coliving in Madeira best neighborhoods for remote work,Europe,Portugal,Madeira,best neighborhoods for remote work,Commercial Investigation,MOFU,592,10,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),95.6
S2-0035,Madeira workation spaces with best neighborhoods for remote work,Europe,Portugal,Madeira,best neighborhoods for remote work,Commercial Investigation,MOFU,605,15,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),90.2
S2-0036,Madeira Portugal remote work best neighborhoods for remote work,Europe,Portugal,Madeira,best neighborhoods for remote work,Commercial Investigation,MOFU,618,20,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),84.9
S2-0037,best coliving in Madeira tax residency and stay limits,Europe,Portugal,Madeira,tax residency and stay limits,Commercial Investigation,MOFU,631,25,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),79.5
S2-0038,Madeira workation spaces with tax residency and stay limits,Europe,Portugal,Madeira,tax residency and stay limits,Informational / Navigational,TOFU,644,30,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),74.2
S2-0039,Madeira Portugal remote work tax residency and stay limits,Europe,Portugal,Madeira,tax residency and stay limits,Informational / Navigational,TOFU,657,35,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),68.8
S2-0040,best coliving in Madeira dual isp internet redundancy,Europe,Portugal,Madeira,dual isp internet redundancy,Commercial Investigation,MOFU,670,12,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),94.2
S2-0041,Madeira workation spaces with dual isp internet redundancy,Europe,Portugal,Madeira,dual isp internet redundancy,Informational / Navigational,TOFU,683,17,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),88.9
S2-0042,Madeira Portugal remote work dual isp internet redundancy,Europe,Portugal,Madeira,dual isp internet redundancy,Informational / Navigational,TOFU,696,22,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),83.5
S2-0043,best coliving in Madeira coliving with swimming pool and gym,Europe,Portugal,Madeira,coliving with swimming pool and gym,Commercial Investigation,MOFU,709,27,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),78.2
S2-0044,Madeira workation spaces with coliving with swimming pool and gym,Europe,Portugal,Madeira,coliving with swimming pool and gym,Informational / Navigational,TOFU,722,32,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),72.8
S2-0045,Madeira Portugal remote work coliving with swimming pool and gym,Europe,Portugal,Madeira,coliving with swimming pool and gym,Informational / Navigational,TOFU,735,9,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),98.3
S2-0046,best coliving in Madeira dog friendly workation properties,Europe,Portugal,Madeira,dog friendly workation properties,Commercial Investigation,MOFU,748,14,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),92.9
S2-0047,Madeira workation spaces with dog friendly workation properties,Europe,Portugal,Madeira,dog friendly workation properties,Informational / Navigational,TOFU,761,19,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),87.6
S2-0048,Madeira Portugal remote work dog friendly workation properties,Europe,Portugal,Madeira,dog friendly workation properties,Informational / Navigational,TOFU,774,24,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),82.2
S2-0049,best coliving in Madeira workation retreats for distributed teams,Europe,Portugal,Madeira,workation retreats for distributed teams,Commercial Investigation,MOFU,787,29,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),76.8
S2-0050,Madeira workation spaces with workation retreats for distributed teams,Europe,Portugal,Madeira,workation retreats for distributed teams,Informational / Navigational,TOFU,800,34,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),71.5
S2-0051,Madeira Portugal remote work workation retreats for distributed teams,Europe,Portugal,Madeira,workation retreats for distributed teams,Informational / Navigational,TOFU,813,11,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),96.9
S2-0052,best coliving in Madeira budget friendly coliving under 1000,Europe,Portugal,Madeira,budget friendly coliving under 1000,Commercial Investigation,MOFU,826,16,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),91.6
S2-0053,Madeira workation spaces with budget friendly coliving under 1000,Europe,Portugal,Madeira,budget friendly coliving under 1000,Informational / Navigational,TOFU,839,21,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),86.2
S2-0054,Madeira Portugal remote work budget friendly coliving under 1000,Europe,Portugal,Madeira,budget friendly coliving under 1000,Informational / Navigational,TOFU,852,26,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),80.9
S2-0055,best coliving in Madeira luxury executive workation apartments,Europe,Portugal,Madeira,luxury executive workation apartments,Commercial Investigation,MOFU,865,31,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),75.5
S2-0056,Madeira workation spaces with luxury executive workation apartments,Europe,Portugal,Madeira,luxury executive workation apartments,Informational / Navigational,TOFU,878,8,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),99.0
S2-0057,Madeira Portugal remote work luxury executive workation apartments,Europe,Portugal,Madeira,luxury executive workation apartments,Informational / Navigational,TOFU,891,13,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),95.6
S2-0058,best coliving in Madeira coliving with private ensuite bathroom,Europe,Portugal,Madeira,coliving with private ensuite bathroom,Commercial Investigation,MOFU,904,18,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),90.2
S2-0059,Madeira workation spaces with coliving with private ensuite bathroom,Europe,Portugal,Madeira,coliving with private ensuite bathroom,Informational / Navigational,TOFU,917,23,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),84.9
S2-0060,Madeira Portugal remote work coliving with private ensuite bathroom,Europe,Portugal,Madeira,coliving with private ensuite bathroom,Informational / Navigational,TOFU,930,28,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),79.5
S2-0061,best coliving in Lisbon verified high speed fiber wifi,Europe,Portugal,Lisbon,verified high speed fiber wifi,Commercial Investigation,MOFU,943,33,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),74.2
S2-0062,Lisbon workation spaces with verified high speed fiber wifi,Europe,Portugal,Lisbon,verified high speed fiber wifi,Informational / Navigational,TOFU,956,10,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),99.0
S2-0063,Lisbon Portugal remote work verified high speed fiber wifi,Europe,Portugal,Lisbon,verified high speed fiber wifi,Informational / Navigational,TOFU,969,15,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),94.3
S2-0064,best coliving in Lisbon ergonomic chairs standing desks,Europe,Portugal,Lisbon,ergonomic chairs standing desks,Commercial Investigation,MOFU,982,20,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),88.9
S2-0065,Lisbon workation spaces with ergonomic chairs standing desks,Europe,Portugal,Lisbon,ergonomic chairs standing desks,Informational / Navigational,TOFU,995,25,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),83.6
S2-0066,Lisbon Portugal remote work ergonomic chairs standing desks,Europe,Portugal,Lisbon,ergonomic chairs standing desks,Informational / Navigational,TOFU,1008,30,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),78.2
S2-0067,best coliving in Lisbon private soundproof phone call booths,Europe,Portugal,Lisbon,private soundproof phone call booths,Commercial Investigation,MOFU,1021,35,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),72.8
S2-0068,Lisbon workation spaces with private soundproof phone call booths,Europe,Portugal,Lisbon,private soundproof phone call booths,Informational / Navigational,TOFU,1034,12,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),98.3
S2-0069,Lisbon Portugal remote work private soundproof phone call booths,Europe,Portugal,Lisbon,private soundproof phone call booths,Informational / Navigational,TOFU,1047,17,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),92.9
S2-0070,best coliving in Lisbon backup generator battery power ups,Europe,Portugal,Lisbon,backup generator battery power ups,Commercial Investigation,MOFU,1060,22,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),87.6
S2-0071,Lisbon workation spaces with backup generator battery power ups,Europe,Portugal,Lisbon,backup generator battery power ups,Informational / Navigational,TOFU,1073,27,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),82.2
S2-0072,Lisbon Portugal remote work backup generator battery power ups,Europe,Portugal,Lisbon,backup generator battery power ups,Informational / Navigational,TOFU,1086,32,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),76.9
S2-0073,best coliving in Lisbon monthly private room rates cost,Europe,Portugal,Lisbon,monthly private room rates cost,Transactional / Commercial,BOFU,1099,9,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),99.0
S2-0074,Lisbon workation spaces with monthly private room rates cost,Europe,Portugal,Lisbon,monthly private room rates cost,Transactional / Commercial,BOFU,1112,14,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),97.0
S2-0075,Lisbon Portugal remote work monthly private room rates cost,Europe,Portugal,Lisbon,monthly private room rates cost,Transactional / Commercial,BOFU,1125,19,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Property Pricing & Booking Directory,Extremely High (100%),High,High,High,Very High,High (City specific),91.6
S2-0076,best coliving in Lisbon digital nomad visa requirements,Europe,Portugal,Lisbon,digital nomad visa requirements,Commercial Investigation,MOFU,1138,24,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),86.2
S2-0077,Lisbon workation spaces with digital nomad visa requirements,Europe,Portugal,Lisbon,digital nomad visa requirements,Informational / Navigational,TOFU,1151,29,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),80.9
S2-0078,Lisbon Portugal remote work digital nomad visa requirements,Europe,Portugal,Lisbon,digital nomad visa requirements,Informational / Navigational,TOFU,1164,34,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),75.5
S2-0079,best coliving in Lisbon quiet focused coworking spaces,Europe,Portugal,Lisbon,quiet focused coworking spaces,Commercial Investigation,MOFU,1177,11,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),99.0
S2-0080,Lisbon workation spaces with quiet focused coworking spaces,Europe,Portugal,Lisbon,quiet focused coworking spaces,Informational / Navigational,TOFU,1190,16,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),95.6
S2-0081,Lisbon Portugal remote work quiet focused coworking spaces,Europe,Portugal,Lisbon,quiet focused coworking spaces,Informational / Navigational,TOFU,1203,21,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Structured Property Profile,Extremely High (100%),High,High,High,Medium,High (City specific),90.3
S2-0082,best coliving in Lisbon community coliving for remote developers,Europe,Portugal,Lisbon,community coliving for remote developers,Commercial Investigation,MOFU,1216,26,Weak (Generic Booking / Stale Blogs),Very High (Booking Commission 10-15%),High (2026 Rates),Programmatic Directory Listing,Comparative City Hub Directory,Extremely High (100%),High,High,High,High,High (City specific),84.9
